model,uncertainty_type,dataset,unlabeled_size,auroc
llama3,semanticentropy,trivia_qa,3100,0.8564478735129792
llama3,semanticentropy,trivia_qa,3200,0.8505377978792141
llama3,semanticentropy,trivia_qa,3300,0.8505377978792141
llama3,semanticentropy,trivia_qa,3400,0.8505377978792141
llama3,semanticentropy,trivia_qa,3500,0.8505377978792141
llama3,semanticentropy,trivia_qa,3600,0.8505377978792141
llama3,semanticentropy,trivia_qa,3700,0.8505377978792141
llama3,semanticentropy,trivia_qa,3800,0.8505377978792141
llama3,semanticentropy,trivia_qa,3900,0.8505377978792141
llama3,semanticentropy,coqa,100,0.7699770040212863
llama3,semanticentropy,coqa,200,0.7846474752582533
llama3,semanticentropy,coqa,300,0.776815598738231
llama3,semanticentropy,coqa,400,0.7767253003924968
llama3,semanticentropy,coqa,500,0.781083700546606
llama3,semanticentropy,coqa,600,0.7832207613956512
llama3,semanticentropy,coqa,700,0.7778991788870429
llama3,semanticentropy,coqa,800,0.7812101182306339
llama3,semanticentropy,coqa,900,0.773471550001204
llama3,semanticentropy,coqa,1000,0.7829799658070264
llama3,semanticentropy,coqa,1100,0.7763520672301283
llama3,semanticentropy,coqa,1200,0.7803613137807316
llama3,semanticentropy,coqa,1300,0.7812522574586434
llama3,semanticentropy,coqa,1400,0.7823448674420286
llama3,semanticentropy,coqa,1500,0.7795847480074165
llama3,semanticentropy,coqa,1600,0.7823538972766018
llama3,semanticentropy,coqa,1700,0.7803673336704471
llama3,semanticentropy,coqa,1800,0.7839070288232319
llama3,semanticentropy,coqa,1900,0.7854962797081558
llama3,semanticentropy,coqa,2000,0.7776162440704086
llama3,semanticentropy,coqa,2100,0.7849243901851718
llama3,semanticentropy,coqa,2200,0.7768577379662405
llama3,semanticentropy,coqa,2300,0.7795305689999759
llama3,semanticentropy,coqa,2400,0.7794914397168243
llama3,semanticentropy,coqa,2500,0.7732247345228636
llama3,semanticentropy,coqa,2600,0.7767463700065014
llama3,semanticentropy,coqa,2700,0.7822515591514363
llama3,semanticentropy,coqa,2800,0.7753888848756292
llama3,semanticentropy,coqa,2900,0.7759698042331864
llama3,semanticentropy,coqa,3000,0.7768396782970937
llama3,semanticentropy,coqa,3100,0.7803914132293096
llama3,semanticentropy,coqa,3200,0.7842622023164536
llama3,semanticentropy,coqa,3300,0.7809271834139999
llama3,semanticentropy,coqa,3400,0.7790911170507356
llama3,semanticentropy,coqa,3500,0.77816405403453
llama3,semanticentropy,coqa,3600,0.7846083459751017
llama3,semanticentropy,coqa,3700,0.7846083459751017
llama3,semanticentropy,coqa,3800,0.7846083459751017
llama3,semanticentropy,coqa,3900,0.7846083459751017
llama3,maximumsequenceprobability,trivia_qa,100,0.762532780966136
llama3,maximumsequenceprobability,trivia_qa,200,0.7647941925430429
llama3,maximumsequenceprobability,trivia_qa,300,0.7972901067994376
llama3,maximumsequenceprobability,trivia_qa,400,0.8187497624567672
llama3,maximumsequenceprobability,trivia_qa,500,0.7887385504161758
llama3,maximumsequenceprobability,trivia_qa,600,0.8106115312986963
llama3,maximumsequenceprobability,trivia_qa,700,0.8026300786743188
llama3,maximumsequenceprobability,trivia_qa,800,0.8205028315153358
llama3,maximumsequenceprobability,trivia_qa,900,0.819638174147695
llama3,maximumsequenceprobability,trivia_qa,1000,0.8246075785793014
llama3,maximumsequenceprobability,trivia_qa,1100,0.83004256774733
llama3,maximumsequenceprobability,trivia_qa,1200,
llama3,maximumsequenceprobability,trivia_qa,1300,0.8390122002204401
llama3,maximumsequenceprobability,trivia_qa,1400,0.8409600547299609
llama3,maximumsequenceprobability,trivia_qa,1500,0.8339382767663716
llama3,maximumsequenceprobability,trivia_qa,1600,0.8416631826992512
llama3,maximumsequenceprobability,trivia_qa,1700,0.8281897305309567
llama3,maximumsequenceprobability,trivia_qa,1800,0.8478012998365703
llama3,maximumsequenceprobability,trivia_qa,1900,0.8424423245030597
llama3,maximumsequenceprobability,trivia_qa,2000,0.8477442894606817
llama3,maximumsequenceprobability,trivia_qa,2100,0.8437060545019193
llama3,maximumsequenceprobability,trivia_qa,2200,0.8371403595454372
llama3,maximumsequenceprobability,trivia_qa,2300,0.8448177568317434
llama3,maximumsequenceprobability,trivia_qa,2400,0.8366937782676448
llama3,maximumsequenceprobability,trivia_qa,2500,0.8445612101402455
llama3,maximumsequenceprobability,trivia_qa,2600,0.8418437155562314
llama3,maximumsequenceprobability,trivia_qa,2700,0.8497396526167764
llama3,maximumsequenceprobability,trivia_qa,2800,0.849492607654593
llama3,maximumsequenceprobability,trivia_qa,2900,0.8394587814982326
llama3,maximumsequenceprobability,trivia_qa,3000,0.8429031583748243
llama3,maximumsequenceprobability,trivia_qa,3100,0.8439435977347878
llama3,maximumsequenceprobability,trivia_qa,3200,0.8452168294629623
llama3,maximumsequenceprobability,trivia_qa,3300,0.8452168294629623
llama3,maximumsequenceprobability,trivia_qa,3400,0.8452168294629623
llama3,maximumsequenceprobability,trivia_qa,3500,0.8452168294629623
llama3,maximumsequenceprobability,trivia_qa,3600,0.8452168294629623
llama3,maximumsequenceprobability,trivia_qa,3700,0.8452168294629623
llama3,maximumsequenceprobability,trivia_qa,3800,0.8452168294629623
llama3,maximumsequenceprobability,trivia_qa,3900,0.8452168294629623
llama3,maximumsequenceprobability,coqa,100,0.7699770040212863
llama3,maximumsequenceprobability,coqa,200,0.7846474752582533
llama3,maximumsequenceprobability,coqa,300,0.7802649955452816
llama3,maximumsequenceprobability,coqa,400,0.7891202533169592
llama3,maximumsequenceprobability,coqa,500,0.7810295215391654
llama3,maximumsequenceprobability,coqa,600,0.7812040983409184
llama3,maximumsequenceprobability,coqa,700,0.7855022995978713
llama3,maximumsequenceprobability,coqa,800,0.767334272436129
llama3,maximumsequenceprobability,coqa,900,0.7788503214621109
llama3,maximumsequenceprobability,coqa,1000,0.7885483637939753
llama3,maximumsequenceprobability,coqa,1100,0.7808368850682655
llama3,maximumsequenceprobability,coqa,1200,0.7749253533675262
llama3,maximumsequenceprobability,coqa,1300,0.785159165884081
llama3,maximumsequenceprobability,coqa,1400,0.7781821137036771
llama3,maximumsequenceprobability,coqa,1500,0.7744558019697079
llama3,maximumsequenceprobability,coqa,1600,0.7702779985070674
llama3,maximumsequenceprobability,coqa,1700,0.772138144429194
llama3,maximumsequenceprobability,coqa,1800,0.7808730044065593
llama3,maximumsequenceprobability,coqa,1900,0.7826067326446579
llama3,maximumsequenceprobability,coqa,2000,0.7787841026752389
llama3,maximumsequenceprobability,coqa,2100,0.7861223482385802
llama3,maximumsequenceprobability,coqa,2200,0.7821221315225506
llama3,maximumsequenceprobability,coqa,2300,
llama3,maximumsequenceprobability,coqa,2400,0.777625273904982
llama3,maximumsequenceprobability,coqa,2500,0.7841719039707192
llama3,maximumsequenceprobability,coqa,2600,0.7836602133448916
llama3,maximumsequenceprobability,coqa,2700,0.7857491150762118
llama3,maximumsequenceprobability,coqa,2800,0.7753407257579041
llama3,maximumsequenceprobability,coqa,2900,0.778561366755761
llama3,maximumsequenceprobability,coqa,3000,0.7785192275277517
llama3,maximumsequenceprobability,coqa,3100,0.7813907149221027
llama3,maximumsequenceprobability,coqa,3200,0.7771948517903151
llama3,maximumsequenceprobability,coqa,3300,0.7759306749500349
llama3,maximumsequenceprobability,coqa,3400,0.7895597052661996
llama3,maximumsequenceprobability,coqa,3500,0.779118206554456
llama3,maximumsequenceprobability,coqa,3600,0.7766410219364782
llama3,maximumsequenceprobability,coqa,3700,0.7766410219364782
llama3,maximumsequenceprobability,coqa,3800,0.7766410219364782
llama3,maximumsequenceprobability,coqa,3900,0.7766410219364782
llama3,lexicalsimilarity,trivia_qa,100,0.762532780966136
llama3,lexicalsimilarity,trivia_qa,200,0.7647941925430429
llama3,lexicalsimilarity,trivia_qa,300,0.8088347079168409
llama3,lexicalsimilarity,trivia_qa,400,0.8044924176200068
llama3,lexicalsimilarity,trivia_qa,500,0.8125593858082171
llama3,lexicalsimilarity,trivia_qa,600,0.7771369389228839
llama3,lexicalsimilarity,trivia_qa,700,0.8233533503097563
llama3,lexicalsimilarity,trivia_qa,800,0.8118182509216677
llama3,lexicalsimilarity,trivia_qa,900,0.810877579719509
